RunTime,Epochs,BatchSize,TrainAccuracy,ValidationAccuracy,TrainLoss,ValidationLoss,TestAccuracy,TestLoss,RunFolder,GraphFile,EpochFile
2026-05-04_19-58-46,21,32,0.7935,0.7581,,,0.8247,,model_results/run_2026-05-04_19-58-46,model_results/run_2026-05-04_19-58-46/accuracy_graph_2026-05-04_19-58-46.png,model_results/run_2026-05-04_19-58-46/epoch_results_2026-05-04_19-58-46.csv
2026-05-04_20-44-00,38,32,0.8134,0.6935,,,0.8247,,model_results/run_2026-05-04_20-44-00,model_results/run_2026-05-04_20-44-00/accuracy_graph_2026-05-04_20-44-00.png,model_results/run_2026-05-04_20-44-00/epoch_results_2026-05-04_20-44-00.csv
2026-05-04_20-57-34,25,32,0.8351,0.7258,,,0.8247,,model_results/run_2026-05-04_20-57-34,model_results/run_2026-05-04_20-57-34/accuracy_graph_2026-05-04_20-57-34.png,model_results/run_2026-05-04_20-57-34/epoch_results_2026-05-04_20-57-34.csv
2026-05-04_22-27-37,38,32,,,,,0.8247,0.3705,model_results/run_2026-05-04_22-27-37,model_results/run_2026-05-04_22-27-37/accuracy_graph_2026-05-04_22-27-37.png,model_results/run_2026-05-04_22-27-37/epoch_results_2026-05-04_22-27-37.csv
2026-05-04_22-33-36,38,32,,,,,0.8247,0.3705,model_results/run_2026-05-04_22-33-36,model_results/run_2026-05-04_22-33-36/accuracy_graph_2026-05-04_22-33-36.png,model_results/run_2026-05-04_22-33-36/epoch_results_2026-05-04_22-33-36.csv
2026-05-04_22-51-11,38,32,0.8134,0.6935,0.3673,0.5556,0.8247,0.3705,model_results/run_2026-05-04_22-51-11,model_results/run_2026-05-04_22-51-11/accuracy_graph_2026-05-04_22-51-11.png,model_results/run_2026-05-04_22-51-11/epoch_results_2026-05-04_22-51-11.csv
2026-05-04_22-56-56,38,32,0.8134,0.6935,0.3673,0.5556,0.8247,0.3705,model_results/run_2026-05-04_22-56-56,model_results/run_2026-05-04_22-56-56/accuracy_graph_2026-05-04_22-56-56.png,model_results/run_2026-05-04_22-56-56/epoch_results_2026-05-04_22-56-56.csv
2026-05-05_09-42-10,38,32,0.8442,0.8226,0.3571,0.3715,0.7662,0.4514,model_results/run_2026-05-05_09-42-10,model_results/run_2026-05-05_09-42-10/accuracy_graph_2026-05-05_09-42-10.png,model_results/run_2026-05-05_09-42-10/epoch_results_2026-05-05_09-42-10.csv
2026-05-05_09-44-05,45,16,0.8804,0.8387,0.2762,0.3978,0.7727,0.4899,model_results/run_2026-05-05_09-44-05,model_results/run_2026-05-05_09-44-05/accuracy_graph_2026-05-05_09-44-05.png,model_results/run_2026-05-05_09-44-05/epoch_results_2026-05-05_09-44-05.csv
2026-05-05_09-44-34,30,16,0.8478,0.8226,0.3462,0.3738,0.7662,0.4563,model_results/run_2026-05-05_09-44-34,model_results/run_2026-05-05_09-44-34/accuracy_graph_2026-05-05_09-44-34.png,model_results/run_2026-05-05_09-44-34/epoch_results_2026-05-05_09-44-34.csv
2026-05-05_09-55-58,38,32,0.8098,0.7258,0.3875,0.5522,0.7987,0.3869,model_results/run_2026-05-05_09-55-58,model_results/run_2026-05-05_09-55-58/accuracy_graph_2026-05-05_09-55-58.png,model_results/run_2026-05-05_09-55-58/epoch_results_2026-05-05_09-55-58.csv
2026-05-05_09-59-39,39,32,0.8225,0.6935,0.3841,0.5458,0.8117,0.3946,model_results/run_2026-05-05_09-59-39,model_results/run_2026-05-05_09-59-39/accuracy_graph_2026-05-05_09-59-39.png,model_results/run_2026-05-05_09-59-39/epoch_results_2026-05-05_09-59-39.csv
2026-05-05_18-52-53,38,32,0.8134,0.6935,0.3673,0.5556,0.8247,0.3705,model_results/run_2026-05-05_18-52-53,model_results/run_2026-05-05_18-52-53/accuracy_graph_2026-05-05_18-52-53.png,model_results/run_2026-05-05_18-52-53/epoch_results_2026-05-05_18-52-53.csv
2026-05-05_18-54-55,21,32,0.7717,0.7581,0.4493,0.5028,0.7987,0.4191,model_results/run_2026-05-05_18-54-55,model_results/run_2026-05-05_18-54-55/accuracy_graph_2026-05-05_18-54-55.png,model_results/run_2026-05-05_18-54-55/epoch_results_2026-05-05_18-54-55.csv
2026-05-06_12-18-09,21,32,0.7717,0.7581,0.4493,0.5028,0.7987,0.4191,model_results/run_2026-05-06_12-18-09,model_results/run_2026-05-06_12-18-09/accuracy_graph_2026-05-06_12-18-09.png,model_results/run_2026-05-06_12-18-09/epoch_results_2026-05-06_12-18-09.csv
2026-05-06_14-51-11,21,32,0.7681,0.8,0.4511,0.4393,0.8961,0.3204,model_results/run_2026-05-06_14-51-11,model_results/run_2026-05-06_14-51-11/accuracy_graph_2026-05-06_14-51-11.png,model_results/run_2026-05-06_14-51-11/epoch_results_2026-05-06_14-51-11.csv
